Time (s),Pixel count
1742900838.170919,257
1742900838.2931554,293
1742900838.4111006,234
1742900838.5212033,286
1742900838.6354113,271
1742900838.7457783,247
1742900838.8624792,272
1742900838.9783118,241
1742900839.069372,276
1742900839.1959572,238
1742900839.3197973,271
1742900839.419814,272
1742900839.5277016,268
1742900839.6488461,291
1742900839.7559905,265
1742900839.8682818,303
1742900839.9804034,250
1742900840.1030507,311
1742900840.2089794,274
1742900840.3204916,300
1742900840.644365,269
1742900840.7642684,281
1742900840.8524785,297
1742900840.96666,257
1742900841.097897,293
1742900841.2004416,268
1742900841.3176837,297
1742900841.4177446,279
1742900841.5232267,291
1742900841.6494565,300
1742900841.7442033,266
1742900841.875396,285
1742900841.969886,293
1742900842.0907438,251
1742900842.2030642,295
1742900842.3214445,257
1742900842.4469125,273
1742900842.5529292,278
1742900842.6691213,288
1742900842.7840219,288
1742900842.8933976,317
1742900843.0077753,354
1742900843.1255305,383
1742900843.2360134,328
1742900843.3366048,313
1742900843.4542484,294
1742900843.5735285,310
1742900843.692012,276
1742900843.7903163,284
1742900843.91281,298
1742900844.028989,232
1742900844.138589,238
1742900844.252128,238
1742900844.352402,236
1742900844.4801667,226
1742900844.6957026,260
1742900844.796041,228
1742900844.9032834,226
1742900845.026033,234
1742900845.1408837,233
1742900845.365519,197
1742900845.4598281,217
1742900845.5741107,223
1742900845.6798525,215
1742900845.8163273,222
1742900845.9184487,269
1742900846.0369716,225
1742900846.1378922,271
1742900846.4162066,230
1742900846.624739,234
1742900846.8442924,238
1742900846.9322824,222
1742900847.0704362,243
1742900847.1699946,231
1742900847.2992458,208
1742900847.3953972,239
1742900847.5043156,240
1742900847.6168354,242
1742900847.7451997,191
1742900847.8506365,201
1742900847.9615357,192
1742900848.08068,175
1742900848.3322144,213
1742900848.4344397,174
1742900848.5410562,206
1742900848.6672647,183
1742900848.7663267,192
1742900848.882599,175
1742900848.9884095,178
1742900849.0924513,194
1742900849.20902,179
1742900849.3342857,183
1742900849.4517922,184
1742900849.5700428,195
1742900849.6670372,181
1742900849.7936761,184
1742900849.9188197,209
1742900850.0048609,188
1742900850.164195,202
1742900850.360751,182
1742900850.4842534,189
1742900850.5873163,165
1742900850.6846771,203
1742900850.9318588,192
1742900851.0494034,207
1742900851.1570146,214
1742900851.2498605,201
1742900851.3698294,225
1742900851.484452,183
1742900851.594404,226
1742900851.715241,199
1742900851.8305624,202
1742900851.975745,204
1742900852.0751607,182
1742900852.1853547,225
1742900852.2858224,185
1742900852.4077415,213
1742900852.51418,194
1742900852.643914,219
1742900852.7645206,223
1742900852.882661,230
1742900852.986281,246
1742900853.0836475,230
1742900853.20656,234
1742900853.309431,195
1742900853.4352007,228
1742900853.5526233,204
1742900853.6618493,184
1742900853.7973268,221
1742900854.0534027,184
1742900854.207323,180
1742900854.3658726,162
1742900854.4875197,183
1742900854.6051652,189
1742900854.7080755,186
1742900854.829668,210
1742900854.9391801,141
1742900855.0431902,170
1742900855.1652358,163
1742900855.2773266,183
1742900855.380841,179
1742900855.6011987,158
1742900855.7081964,157
1742900855.9445705,128
1742900856.284219,156
1742900856.4157865,128
1742900856.5445392,157
1742900856.6468449,152
1742900856.767433,158
1742900856.8588321,174
1742900856.9834628,120
1742900857.2207873,172
1742900857.4273257,146
1742900857.5412936,172
1742900857.6541936,151
1742900857.7701259,131
1742900857.8907437,130
1742900858.1154747,123
1742900858.2280822,144
1742900858.3268108,123
1742900858.4591792,144
1742900858.6431713,147
1742900858.7180555,181
1742900859.0838027,179
1742900859.1714878,165
1742900859.2854307,166
1742900859.396861,152
1742900859.5043538,159
1742900859.6189473,162
1742900859.7404237,183
1742900859.843542,150
1742900860.0434077,177
1742900860.1606286,182
1742900860.275245,179
1742900860.3929296,180
1742900860.5009952,165
1742900860.6061618,153
1742900860.7175138,161
1742900860.854573,175
1742900860.954827,184
1742900861.0777845,182
1742900861.1847908,175
1742900861.2933414,184
1742900861.5020406,184
1742900861.6273067,179
1742900861.7455432,149
1742900861.8573442,162
1742900861.9921813,163
1742900862.1054394,168
1742900862.215225,135
1742900862.3211753,160
1742900862.4373276,147
1742900862.5466504,155
1742900862.6561337,162
1742900862.7786503,182
1742900862.8951337,183
1742900863.1355758,217
1742900863.2334237,203
1742900863.3672261,218
1742900863.455148,190
1742900863.567349,188
1742900863.680891,202
1742900863.7955856,175
1742900863.9061875,170
1742900864.022814,153
1742900864.1405325,177
1742900864.271974,149
1742900864.372192,131
1742900864.490778,128
1742900864.5938387,138
1742900864.7036276,143
1742900864.822139,128
1742900864.9285781,140
1742900865.0657895,135
1742900865.1854665,156
1742900865.2777154,109
1742900865.3958054,162
1742900865.496576,112
1742900865.6177828,143
1742900865.7278223,137
1742900865.8460565,120
1742900866.0618246,130
1742900866.1780746,121
1742900866.2927563,130
1742900866.3914208,129
1742900866.5022602,132
1742900866.618005,126
1742900866.8883197,120
1742900866.9928617,148
1742900867.1014194,107
1742900867.2357078,142
1742900867.3485954,118
1742900867.4601624,133
1742900867.5540164,130
1742900867.7867281,99
1742900867.936361,149
1742900868.0425704,106
1742900868.1576674,119
1742900868.2444477,114
1742900868.4816122,129
1742900868.5679078,153
1742900868.6895537,98
1742900868.7960079,150
1742900868.947437,129
1742900869.1284423,157
1742900869.2647781,137
1742900869.3591015,141
1742900869.470215,154
1742900869.5847023,129
1742900869.697994,170
1742900869.8269796,135
1742900869.928826,162
1742900870.0570633,130
1742900870.1546953,147
1742900870.280933,139
1742900870.40417,119
1742900870.5131915,147
1742900870.6155581,118
1742900870.7843513,141
1742900870.9673512,109
1742900871.068156,138
1742900871.1757863,123
1742900871.291889,123
1742900871.3977094,131
1742900871.518133,122
1742900871.6210861,121
1742900871.7327383,130
1742900871.8455253,142
1742900871.949693,132
1742900872.0746832,139
1742900872.193511,143
1742900872.286388,129
1742900872.4016364,141
1742900872.5204535,132
1742900872.613322,133
1742900872.7305949,134
1742900872.8394976,138
1742900872.9521341,153
1742900873.0805902,157
1742900873.1932976,172
1742900873.2976112,141
1742900873.4173012,176
1742900873.517659,147
1742900873.630402,145
1742900873.749202,140
1742900873.8621168,129
1742900873.9695938,124
1742900874.0847473,129
1742900874.180783,128
1742900874.3985617,112
1742900874.5307019,105
1742900874.6574614,146
1742900874.738744,110
1742900874.853565,133
1742900874.9605913,103
1742900875.06647,124
1742900875.1862972,119
1742900875.2996333,112
1742900875.4162018,130
1742900875.5196352,110
1742900875.7352333,124
1742900875.9528635,106
1742900876.0668688,98
1742900876.1965294,111
1742900876.4525335,90
1742900876.79949,102
1742900876.8912563,112
1742900876.9951012,105
1742900877.2118483,102
1742900877.3228776,124
1742900877.4390452,119
1742900877.563988,110
1742900877.6560276,119
1742900877.876241,112
1742900877.9731216,118
1742900878.0840569,110
1742900878.201149,115
1742900878.3171496,110
1742900878.44801,112
1742900878.5471606,94
1742900878.6779606,96
1742900878.7840116,105
1742900878.8714936,93
1742900878.995167,88
1742900879.1041217,90
1742900879.2385364,84
1742900879.340907,93
1742900879.4391544,87
1742900879.5525188,88
1742900879.6823688,106
1742900879.7745004,106
1742900879.8936796,109
1742900879.998521,105
1742900880.1204348,117
1742900880.2246363,107
1742900880.3538733,134
1742900880.487229,132
1742900880.684471,127
1742900880.813612,124
1742900881.026324,120
1742900881.1256464,125
1742900881.338121,122
1742900881.4700356,134
1742900881.5731404,131
1742900881.6754854,123
1742900881.805377,101
1742900881.9142501,122
1742900882.038341,142
1742900882.1462953,123
1742900882.250631,134
1742900882.359642,137
1742900882.476476,135
1742900882.5910916,133
1742900882.8441112,130
1742900882.9447997,124
1742900883.060556,157
1742900883.1713462,145
1742900883.2694988,120
1742900883.5417671,103
1742900883.640244,127
1742900883.7415562,87
1742900883.865986,82
1742900883.968414,92
1742900884.0796056,93
1742900884.364375,116
1742900884.446544,93
1742900884.5608566,105
1742900884.6881576,98
1742900884.7830002,107
1742900884.899838,103
1742900885.0064814,119
1742900885.1153836,121
1742900885.3090522,93
1742900885.3972743,119
1742900885.4800582,111
1742900885.6163752,96
1742900885.7095313,91
1742900885.8193717,99
1742900886.1522853,96
1742900886.3795269,82
1742900886.4778855,92
1742900886.5757248,99
1742900886.8706594,93
1742900886.9421623,106
1742900887.1150618,100
1742900887.2874715,80
1742900887.4037275,82
1742900887.5164092,95
1742900887.626063,79
1742900887.7444968,75
1742900887.8544302,84
1742900887.970199,81
1742900888.2003367,88
1742900888.310679,93
1742900888.426406,118
1742900888.5617704,74
1742900888.6446893,88
1742900888.7582986,82
1742900888.8720136,83
1742900888.9810445,99
1742900889.095383,77
1742900889.2082071,115
1742900889.4266653,109
1742900889.65213,82
1742900889.7683988,92
1742900889.8813963,99
1742900889.9936805,102
1742900890.099121,114
1742900890.211782,126
1742900890.3732586,111
1742900890.45963,125
1742900890.5681684,117
1742900890.674958,115
1742900890.8515148,126
1742900890.9294844,113
1742900891.0677187,125
