episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,14500,6024,-0.0254,-1.2299,-0.0180,-0.2783,-1.2979,-0.1074
1,14600,6049,-0.0555,-1.8695,-0.0311,-0.2768,-1.3018,-0.1069
1,14700,6074,-0.0296,-1.6100,-0.0257,-0.2751,-1.3039,-0.1064
1,14800,6099,-0.0489,-1.6021,-0.0194,-0.2736,-1.3059,-0.1058
1,14900,6124,-0.0690,-0.3845,-0.0061,-0.2722,-1.2997,-0.1051
1,15000,6149,-0.0673,-1.2379,-0.0126,-0.2708,-1.2993,-0.1045
1,15100,6194,-0.0310,-1.8775,-0.0463,-0.2692,-1.3031,-0.1041
1,15200,6219,-0.0508,-1.7486,-0.0115,-0.2678,-1.3061,-0.1035
1,15300,6244,-0.0292,-0.7715,-0.0152,-0.2662,-1.3026,-0.1029
1,15400,6269,-0.0540,-0.8295,-0.0169,-0.2649,-1.2995,-0.1024
1,15500,6343,-0.0489,-1.1271,-0.0188,-0.2635,-1.2984,-0.1018
1,15600,6368,-0.0421,-0.2481,-0.0314,-0.2621,-1.2917,-0.1014
1,15700,6393,-0.0362,-1.1386,-0.0472,-0.2606,-1.2907,-0.1010
1,15800,6418,-0.0486,-0.9680,-0.0259,-0.2593,-1.2886,-0.1005
1,15900,6443,-0.0392,-0.1626,-0.0218,-0.2579,-1.2816,-0.1000
1,16000,6468,-0.0403,-0.2239,-0.0350,-0.2565,-1.2750,-0.0996
1,16100,6493,-0.0441,-1.0420,-0.0344,-0.2552,-1.2735,-0.0992
1,16200,6518,-0.0573,-0.1605,-0.0504,-0.2540,-1.2666,-0.0989
1,16300,6543,-0.0231,-0.7793,-0.0619,-0.2526,-1.2636,-0.0987
1,16400,6568,-0.0437,-1.4336,-0.0445,-0.2513,-1.2647,-0.0984
1,16500,6593,-0.0338,-1.8631,-0.0450,-0.2500,-1.2683,-0.0981
1,16600,6654,-0.1142,-1.4501,-0.0528,-0.2492,-1.2694,-0.0978
1,16700,6679,-0.1447,-0.7893,-0.0404,-0.2485,-1.2665,-0.0974
1,16800,6704,-0.0390,-0.0685,-0.0304,-0.2473,-1.2594,-0.0970
1,16900,6729,-0.0295,-0.6455,-0.0279,-0.2460,-1.2558,-0.0966
1,17000,6754,-0.0527,-0.8907,-0.0362,-0.2449,-1.2536,-0.0963
1,17100,6823,-0.0776,-1.7748,-0.0342,-0.2439,-1.2567,-0.0959
1,17200,6848,-0.0548,-0.7730,-0.0184,-0.2428,-1.2539,-0.0955
1,17300,6873,-0.0737,-0.5759,-0.0382,-0.2418,-1.2499,-0.0951
1,17400,6906,-0.1285,-1.4904,-0.0314,-0.2412,-1.2513,-0.0948
1,17500,6931,-0.0289,-0.9266,-0.0367,-0.2399,-1.2495,-0.0944
1,17600,6956,-0.0341,-0.3494,-0.0293,-0.2388,-1.2443,-0.0941
1,17700,6981,-0.0312,-0.6745,-0.0324,-0.2376,-1.2411,-0.0937
1,17800,7006,-0.0654,-0.4984,-0.0219,-0.2366,-1.2370,-0.0933
1,17900,7031,-0.1150,-1.3708,-0.0298,-0.2360,-1.2377,-0.0930
1,18000,7056,-0.0709,-1.6423,-0.0314,-0.2350,-1.2399,-0.0926
1,18100,7128,-0.1520,-1.9058,-0.0610,-0.2346,-1.2436,-0.0924
1,18200,7153,-0.0656,-1.0678,-0.0401,-0.2337,-1.2427,-0.0921
1,18300,7177,-0.0770,-0.1024,-0.0353,-0.2328,-1.2364,-0.0918
1,18400,7211,-0.0589,-1.0513,-0.0506,-0.2318,-1.2354,-0.0916
1,18500,7237,-0.1083,-0.8644,-0.0375,-0.2312,-1.2334,-0.0913
1,18600,7262,-0.0473,-0.4832,-0.0400,-0.2302,-1.2294,-0.0910
1,18700,7339,-0.2611,-1.0357,-0.1250,-0.2304,-1.2284,-0.0912
1,18800,7364,-0.0303,-0.6640,-0.0487,-0.2293,-1.2253,-0.0910
1,18900,7389,-0.0556,-1.7987,-0.0634,-0.2284,-1.2284,-0.0909
1,19000,7414,-0.0633,-1.2051,-0.0609,-0.2275,-1.2283,-0.0907
1,19100,7439,-0.0595,-0.3048,-0.0582,-0.2266,-1.2234,-0.0905
1,19200,7464,-0.0463,-0.1106,-0.0421,-0.2257,-1.2176,-0.0903
1,19300,7489,-0.0457,-0.6766,-0.0496,-0.2248,-1.2148,-0.0901
1,19400,7557,-0.1718,-1.4168,-0.0671,-0.2245,-1.2159,-0.0899
1,19500,7582,-0.0735,-0.9420,-0.0614,-0.2237,-1.2145,-0.0898
1,19600,7607,-0.0334,-0.1786,-0.0518,-0.2227,-1.2092,-0.0896
1,19700,7632,-0.0420,-0.2442,-0.0614,-0.2218,-1.2043,-0.0895
1,19800,7657,-0.0505,-0.1112,-0.0514,-0.2210,-1.1988,-0.0893
1,19900,7726,-0.0529,-1.1457,-0.0679,-0.2201,-1.1985,-0.0892
1,20000,7751,-0.1604,-1.1378,-0.0678,-0.2198,-1.1982,-0.0891
1,20100,7776,-0.0647,-0.0889,-0.0671,-0.2190,-1.1927,-0.0889
