episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,13400,4569,-0.0378,-0.9277,-0.0838,-0.2980,-0.9366,-0.2109
1,13500,4594,-0.0712,-1.0248,-0.0790,-0.2964,-0.9372,-0.2099
1,13600,4619,-0.0559,-0.3086,-0.0303,-0.2946,-0.9326,-0.2086
1,13700,4644,-0.0428,-0.2207,-0.0418,-0.2928,-0.9274,-0.2073
1,13800,4670,-0.0394,-0.1955,-0.0600,-0.2909,-0.9221,-0.2063
1,13900,4695,-0.0666,-0.5734,-0.0855,-0.2893,-0.9196,-0.2054
1,14000,4724,-0.1314,-0.6529,-0.0573,-0.2882,-0.9177,-0.2043
1,14100,4749,-0.0319,-0.0190,-0.0750,-0.2864,-0.9113,-0.2034
1,14200,4776,-0.0573,-0.0799,-0.0578,-0.2847,-0.9055,-0.2024
1,14300,4801,-0.0407,-0.0349,-0.0846,-0.2830,-0.8994,-0.2016
1,14400,4828,-0.0571,-0.1612,-0.0959,-0.2815,-0.8942,-0.2008
1,14500,4859,-0.0623,-0.6532,-0.0952,-0.2800,-0.8926,-0.2001
1,14600,4884,-0.0510,-0.3387,-0.1059,-0.2784,-0.8888,-0.1995
1,14700,4910,-0.0484,-0.6020,-0.0646,-0.2768,-0.8868,-0.1986
1,14800,4938,-0.0688,-0.7280,-0.0510,-0.2754,-0.8858,-0.1976
1,14900,4963,-0.0443,-0.3236,-0.0740,-0.2739,-0.8820,-0.1967
1,15000,4988,-0.0468,-0.0928,-0.0706,-0.2724,-0.8767,-0.1959
1,15100,5013,-0.0651,-0.1058,-0.0588,-0.2710,-0.8716,-0.1950
1,15200,5038,-0.0604,-0.0319,-0.0703,-0.2696,-0.8661,-0.1942
1,15300,5063,-0.0559,-0.0285,-0.1138,-0.2682,-0.8606,-0.1936
1,15400,5088,-0.0777,-0.0362,-0.1190,-0.2670,-0.8553,-0.1932
1,15500,5112,-0.0913,-0.0883,-0.0955,-0.2658,-0.8503,-0.1925
1,15600,5138,-0.0460,-0.1208,-0.1037,-0.2644,-0.8456,-0.1920
1,15700,5163,-0.0504,-0.4420,-0.0817,-0.2631,-0.8431,-0.1912
1,15800,5188,-0.0500,-0.5848,-0.0637,-0.2617,-0.8414,-0.1904
1,15900,5213,-0.0372,-0.0794,-0.0804,-0.2603,-0.8366,-0.1897
1,16000,5238,-0.0650,-0.0678,-0.0635,-0.2591,-0.8318,-0.1890
1,16100,5263,-0.0830,-0.0567,-0.0830,-0.2580,-0.8270,-0.1883
1,16200,5288,-0.0557,-0.0458,-0.0896,-0.2567,-0.8222,-0.1877
1,16300,5313,-0.0542,-0.0576,-0.0529,-0.2555,-0.8175,-0.1869
1,16400,5338,-0.0424,-0.1112,-0.0319,-0.2542,-0.8132,-0.1859
1,16500,5363,-0.0537,-0.0377,-0.0599,-0.2530,-0.8085,-0.1852
1,16600,5388,-0.0621,-0.1119,-0.0790,-0.2518,-0.8043,-0.1845
1,16700,5413,-0.1202,-0.0273,-0.0743,-0.2510,-0.7997,-0.1839
1,16800,5438,-0.0615,-0.0383,-0.0944,-0.2499,-0.7951,-0.1833
1,16900,5463,-0.0417,-0.0611,-0.1037,-0.2487,-0.7908,-0.1829
1,17000,5488,-0.0569,-0.0528,-0.1011,-0.2476,-0.7864,-0.1824
1,17100,5513,-0.0912,-0.0398,-0.0788,-0.2466,-0.7821,-0.1818
1,17200,5537,-0.0409,-0.0594,-0.0591,-0.2454,-0.7779,-0.1811
1,17300,5563,-0.0322,-0.0389,-0.1008,-0.2442,-0.7736,-0.1806
1,17400,5588,-0.0376,-0.0399,-0.1115,-0.2430,-0.7694,-0.1802
1,17500,5613,-0.0392,-0.1093,-0.1062,-0.2419,-0.7656,-0.1798
1,17600,5638,-0.0354,-0.0563,-0.0982,-0.2407,-0.7616,-0.1793
1,17700,5662,-0.0737,-0.0681,-0.0833,-0.2397,-0.7577,-0.1788
1,17800,5688,-0.0367,-0.1368,-0.0708,-0.2386,-0.7542,-0.1782
